topic1;question;category;
traumatismos y envenenamientos;cómo introduce fracturas cómo rehabilita evalúa pronóstico fracturas;35;
trastornos psiquiátricos;cómo reconocen signos síntomas trastorno paranoide personalidad;31;
trastornos de la piel;cómo presenta introducción paniculitis;13;
ginecología y obstetricia;cómo detectan síntomas signos cáncer endometrio;5;
trastornos de los tejidos musculoesquelético y conectivo;cómo presentan reconocen síntomas poliarteritis nudosa;17;
trastornos neurológicos;cómo diagnostica amnesia;26;
trastornos oftálmicos;cómo trata escleritis;29;
trastornos urogenitales;cómo refiere generalmente cáncer próstata;34;
trastornos del pulmón y las vías respiratorias;cómo inscribe establecen objetivos individuales programa rehabilitación pulmonar;20;
trastornos bucales y dentales;cómo trata mal aliento olores aliento;11;
trastornos hormonales y metabólicos;cómo trata diabetes mellitus medicamentos inyectables;24;
trastornos pulmonares;cómo diagnostica neumotórax;32;
trastornos nutricionales;cómo diagnostica desnutrición calórico proteica;27;
traumatismos y envenenamientos;cómo utilizan toxinas armas hace ricina abrina;35;
trastornos neurológicos;cuáles conceptos clave síndrome x frágil asociado temblor ataxia fxtas;26;
trastornos del corazón y los vasos sanguíneos;cómo presentan síntomas taquicardia ventricular tipo torsades pointes;18;
trastornos dermatológicos;cómo reconocen síntomas signos enfermedad bowen;21;
trastornos otorrinolaringológicos;cómo realiza laringoscopia indirecta recomendaciones sugerencias deben tener cuenta;30;
trastornos pulmonares;dame información introducción nodulo pulmonar solitario;32;
trastornos endocrinológicos y metabólicos;cómo presentan síntomas signos hipernatremia;22;
fundamentos;cómo elegir ejercicio físico correcto según fundamentos cómo montar bicicleta;2;
trastornos hormonales y metabólicos;causas deficiencia argininavasopresina diabetes insípida central;24;
salud femenina;cómo diagnostica endometriosis área genital externa;10;
trastornos neurológicos;cómo trata ataque isquémico transitorio;26;
trastornos renales y del tracto urinario;cómo causan nefritis tubulointersticiales;33;
trastornos nutricionales;dame informaciones introductories toxicidad cromo;27;
trastornos del corazón y los vasos sanguíneos;cómo causan pericarditis crónica;18;
trastornos de la salud mental;cómo diagnostica trastorno conductas repetitivas centradas cuerpo mental;14;
trastornos de la salud mental;cómo diagnostica trastorno voyeurista;14;
hematología y oncología;cómo produce patología linfomas hodgkin;6;
trastornos cardiovasculares;cómo realiza prueba estrés trastornos cardiovasculares;12;
hematología y oncología;cómo realiza diagnóstico inmunológico tumoral hematología oncología;6;
hematología y oncología;cómo presentan síntomas signos anemias macrocíticas megaloblásticas;6;
trastornos nutricionales;cómo administra nutrición enteral través sonda;27;
traumatismos y envenenamientos;cómo trata picadura abeja avispa avispon hormiga;35;
ginecología y obstetricia;cómo refieren referencias dispositivo intrauterino diu ginecología obstetricia;5;
trastornos del pulmón y las vías respiratorias;cómo diagnostica neumonía organización criptogénica;20;
enfermedades cerebrales; medulares y nerviosas;cuáles conceptos clave relacionados pérdida memoria enfermedades cerebrales medulares nerviosas;1
trastornos de la piel;cómo causan penfigoides membrana mucosa;13;
geriatría;cómo reembolsa atención domiciliaria geriatría;4;
trastornos otorrinolaringológicos;dame información introducción trastornos otorrinolaringológicos mareo vértigo;30;
trastornos inmunológicos;cómo ven afectados sistema inmunitario personas mayores edad;25;
trastornos otorrinolaringológicos;cómo detectan síntomas cáncer laringe;30;
enfermedades cerebrales; medulares y nerviosas;cómo evaluar debilidad enfermedades cerebrales medulares nerviosas;1
ginecología y obstetricia;cómo produce endometritis posparto;5;
trastornos inmunológicos;cómo diagnostica alergia física;25;
trastornos de la piel;cómo trata vitíligo;13;
trastornos neurológicos;cuáles conceptos clave insuficiencia neurovegetativa pura;26;
trastornos inmunológicos;cómo manejan complicaciones trasplante pulmonar cardíaco pulmonar;25;
trastornos de la salud mental;cómo obtengo información trastornos ansiedad;14;
trastornos cardiovasculares;cómo realiza auscultación cardíaca detectar soplos sistólicos pacientes trastornos cardiovasculares;12;
trastornos de la sangre;cómo trata leucemia mieloide aguda;15;
enfermedades cerebrales; medulares y nerviosas;dame información introducción trastornos convulsivos;1
trastornos pulmonares;cómo trata tos adultos problemas respiratorios;32;
trastornos neurológicos;cuáles conceptos clave relacionados entumecimiento neurológico;26;
trastornos nutricionales;dame informaciones introductories toxicidad hierro;27;
trastornos endocrinológicos y metabólicos;cómo reconocen síntomas signos diabetes mellitus;22;
trastornos neurológicos;qué entiende trastornos sistema nervioso periférico causa trastornos;26;
trastornos dermatológicos;qué conceptos clave dermatitis numular;21;
infecciones;cómo presentan síntomas criptosporidiosis;7;
salud femenina;cómo identifican tratan quistes ovarios funcionales;10;
geriatría;cómo determina costo atención centro enfermería especializada geriatría;4;
trastornos pulmonares;cómo trata enfermedad pulmonar inducida medicamentos;32;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica hipotensión arterial;18;
inmunología y trastornos alérgicos;cómo diagnostica ataxia telangiectasia;8;
trastornos del corazón y los vasos sanguíneos;cómo trata paro cardíaco primeros auxilios;18;
trastornos pulmonares;cómo diagnostica apnea sueño central;32;
trastornos de la piel;cómo presentan linfangiomas contexto trastornos piel;13;
trastornos inmunológicos;cómo presentan síntomas reacción anafiláctica;25;
trastornos de la salud mental;cómo presentan síntomas trastorno somatomorfo;14;
trastornos del corazón y los vasos sanguíneos;podrías darme información introducción aneurismas aorta disección aórtica;18;
trastornos psiquiátricos;cómo realiza evaluación psiquiátrica rutinaria trastornos psiquiátricos;31;
trastornos hepáticos y biliares;cómo trata cirrosis;23;
trastornos pulmonares;cómo produce patología sarcoidosis;32;
trastornos cardiovasculares;dame información introducción taquicardia ventricular polimorfa catecolaminérgica;12;
trastornos de la piel;cómo causan trastornos piel provocan aumento vello corporal;13;
trastornos dermatológicos;dame información introducción hiperhidrosis;21;
inmunología y trastornos alérgicos;cómo diagnostica rinitis alérgica;8;
infecciones;cómo presentan síntomas enfermedad arañazo gato;7;
trastornos del corazón y los vasos sanguíneos;dame información introducción prolapso válvula mitral;18;
traumatismos y envenenamientos;dame informaciones introducción síndrome maligno neurolépticos traumatismos envenenamientos;35;
trastornos hormonales y metabólicos;cómo presentan síntomas hipomagnesemia;24;
traumatismos y envenenamientos;dame información introducción toxinas armas traumatismos;35;
trastornos dermatológicos;cuáles conceptos clave liquen escleroso;21;
ginecología y obstetricia;qué conceptos clave tumoraciones mamarias nódulos mama ginecología obstetricia;5;
trastornos dermatológicos;cómo presentan piojos;21;
traumatismos y envenenamientos;cómo identifican síntomas enfermedad descompresión;35;
trastornos del hígado y de la vesícula biliar;cómo trata daño hepático causado medicamentos;19;
trastornos del corazón y los vasos sanguíneos;dame información introductoria estenosis aórtica;18;
ginecología y obstetricia;cómo realiza parto vaginal instrumental referencias generales;5;
trastornos de la salud mental;puedes darme información trastornos relacionados sustancias drogas cómo presentan trastornos mentales;14;
hematología y oncología;dame información sobrecarga hierro secundaria hematología oncología;6;
trastornos urogenitales;cuáles conceptos clave dolor escrotal trastornos urogenitales;34;
trastornos renales y del tracto urinario;cómo diagnostica lesión renal aguda;33;
trastornos de la piel;cómo trata dermatitis perioral;13;
trastornos de los tejidos musculoesquelético y conectivo;cómo aspiran inyectan bolsa olécranon tejidos musculoesqueléticos conectivos;17;
trastornos de la piel;cómo trata liquen simple crónico;13;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata vasculitis asociada inmunoglobulina igav;17;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica tumor óseo;16
trastornos otorrinolaringológicos;cómo presenta dolor garganta trastornos otorrinolaringológicos;30;
hematología y oncología;qué entiende trastornos coagulación cómo evalúan;6;
hematología y oncología;cómo refiere generalmente mieloma múltiple hematología oncología;6;
trastornos odontológicos;cómo manejan avulsiones dentarias fracturas dentarias;28;
trastornos urogenitales;dame informaciones introductories nefropatía diabética;34;
trastornos del corazón y los vasos sanguíneos;cuáles conceptos clave hinchazón vasos sanguíneos corazón;18;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica síndrome túnel tarsiano;16
traumatismos y envenenamientos;cómo trata lesión hepática causada traumas envenenamientos;35;
hematología y oncología;dame informaciones introducción hemofilia;6;
trastornos cardiovasculares;cómo reconocer signos síntomas emergencia hipertensiva;12;
trastornos hormonales y metabólicos;cómo diagnostica porfiria aguda intermitente;24;
enfermedades cerebrales; medulares y nerviosas;cómo introduce dolor enfermedades cerebrales medulares nerviosas;1
ginecología y obstetricia;cómo diagnostica depresión posparto;5;
trastornos cardiovasculares;cómo funciona cardiodesfibrilador implantable significa mal funcionamiento;12;
trastornos pulmonares;podrías darme informaciones generales trastornos relacionados asbesto;32;
trastornos pulmonares;cómo refiere mediastinitis trastornos pulmonares;32;
trastornos de la piel;cómo presentan trastornos piel uñas;13;
hematología y oncología;cómo diagnostica mielofibrosis primaria;6;
trastornos otorrinolaringológicos;cómo trata infección canal auditivo oído nadador;30;
trastornos inmunológicos;cómo obtengo información síndrome wiskott aldrich;25;
trastornos cardiovasculares;cuáles conceptos clave dolor torácico relacionado trastornos cardiovasculares;12;
trastornos de los huesos; articulaciones y músculos;qué introducción trastornos músculos bolsas sinoviales tendones;16
trastornos de los huesos; articulaciones y músculos;cómo trata poliangitis microscópica;16
trastornos oftálmicos;cómo introduce tema párpados lágrimas trastornos oftálmicos;29;
trastornos renales y del tracto urinario;cómo evaluar inflamación escrotal;33;
